x, y
4677.580310019317, 69431.44199294847
4691.793470374973, 65919.73615051928
4666.92039457004, 62508.36131602085
4702.453385824251, 51170.57084682552
4656.260479120763, 48160.537267600484
4643.2317337339, 33311.03904224812
4713.113301273528, 34816.05583186064
4729.69538193184, 21672.24406689359
4632.571818284623, 21872.90991021076
4617.174242960174, 14949.834974466577
4740.355297381117, 13043.478843308467
4604.14549757331, 11237.455633808955
4748.646292527738, 7525.083948062587
4592.30116715524, 8026.7562112667565
4764.043958217258, 4414.717447178972
4777.072703604121, 2207.354896133859
4786.548113719535, 903.0116047497562
4580.45683673717, 6120.400080108661
4568.6125063191, 4816.056788724559
4557.952590869823, 3812.712262316205
4546.108260451753, 2909.700657566449
4533.07951506489, 2508.3613160208624
4520.050679312957, 2107.021974475276
4508.206348894887, 1605.3497112711061
4495.177603508024, 1505.016789612523
4482.148858121161, 1204.0103697255197
4464.382362494055, 1103.6774480669367
4451.353617107192, 702.33810652135
4438.324871720329, 802.6786830911731
