x, y
5233.166631062825, 9.77198763851621
5257.666613260905, 16.938101966181474
5279.833297729492, 46.25406488173001
5304.333279927571, 87.94788874664542
5327.666613260905, 154.39740965884522
5350.999946594238, 202.60586709798847
5376.666666666667, 308.1433385642529
5401.166648864746, 378.5016570170041
5424.499982198079, 442.345304618353
5447.833315531413, 455.3746214697079
5471.166648864746, 405.86321494941444
5495.666631062825, 413.6808100305173
5520.166613260905, 267.10099545277495
5545.833333333333, 229.31598155413573
5566.833279927571, 186.3192210337949
5591.333351135254, 26.710089604697682
