x, y
-8.401998926354565, 1786.1111722242674
6.4250180773901775, 1752.777818139688
23.228940515990757, 1716.6667286996478
39.04441023716345, 1663.8889092354123
55.84840808987235, 1591.6667303553324
70.67542509361715, 1433.3333779264372
-23.229015930099195, 1636.1111848074702
-40.03301378280827, 1597.2222540481587
-57.82538893883691, 1511.1111864631548
-72.65240594258154, 1366.6666697572778
-88.46795107786247, 1150.0000271532265
-103.29496808160718, 975.0000506639473
-119.11043780277984, 800.0000741746678
-135.91436024138045, 652.7778750952364
-152.7183580940895, 433.3332852081021
-168.53382781526207, 316.6667048577904
-183.3608448190068, 161.11119374816678
-200.16476725760748, 111.11110963939146
-215.9802369787801, 36.11119540385145
-231.79578211406113, 13.888888704923884
-245.6342709862695, 19.444571343467068
88.46780024964579, 1227.7777827080383
104.28326997081837, 927.7778078744435
120.09881510609932, 811.1111215603203
134.92583210984407, 599.999843703378
152.7182072658727, 469.4444806119535
166.5567715521894, 336.1110642736349
184.3492221223264, 188.88897115801456
200.16469184349899, 105.55563892847127
214.99170884724367, 55.55555481969554
231.79563128584425, 25.000042054387666
246.62264828958905, 16.666624060383985
