x, y
25.20596224,583.5616515
7.413509434,575.3424598
-8.401962275,544.2922362
-23.22898114,549.7716567
53.87154713,525.1141513
38.05607542,510.5022937
70.67547168,460.2739678
-40.03290569,498.6301376
-55.8483774,477.6255792
-73.64083021,420.091342
-88.46784908,380.8219093
-104.2833208,364.3835608
-119.1103397,288.5844841
-134.9258114,248.4018234
-151.7298113,214.6118983
-169.5221887,193.6073399
-182.3723019,133.333314
-199.1762265,105.9360548
-215.9802264,80.36532141
-231.7956981,52.96806225
-248.5996227,27.39725916
-262.4381887,16.43838337
-275.2883019,11.87217351
-286.161434,4.56620986
88.46792449,368.9497706
104.2833962,371.6894896
119.1104151,326.027391
135.9143396,263.0137158
150.7413585,189.954358
168.5338113,159.8173451
182.3723773,141.5525057
199.1763019,101.369845
215.9803018,65.75346379
230.8073207,46.57532664
245.6343396,35.61645084
263.426717,23.74427734
279.2421887,7.305963646
294.0692829,12.78540154
